acpid ACPID
showkey SHOWKEY
shred SHRED
shuf SHUF
slattach SLATTACH
sleep SLEEP
smemcap SMEMCAP
softlimit SOFTLIMIT
sort SORT
split SPLIT
ssl_client SSL_CLIENT
start-stop-daemon START_STOP_DAEMON
stat STAT
strings STRINGS
stty STTY
su SU
sulogin SULOGIN
sum SUM
sv SV
svc SVC
svlogd SVLOGD
svok SVOK
swapoff SWAPOFF
swapon SWAPON
switch_root SWITCH_ROOT
sync SYNC
sysctl BB_SYSCTL
syslogd SYSLOGD
tac TAC
tail TAIL
tar TAR
taskset TASKSET
tc TC
tcpsvd TCPSVD
tee TEE
telnet TELNET
telnetd TELNETD
test TEST
tftp TFTP
tftpd TFTPD
time TIME
timeout TIMEOUT
top TOP
touch TOUCH
tr TR
traceroute TRACEROUTE
traceroute6 TRACEROUTE6
tree TREE
true TRUE
truncate TRUNCATE
ts TS
tsort TSORT
tty TTY
ttysize TTYSIZE
tunctl TUNCTL
tune2fs TUNE2FS
ubiattach UBIATTACH
ubidetach UBIDETACH
ubimkvol UBIMKVOL
ubirename UBIRENAME
ubirmvol UBIRMVOL
ubirsvol UBIRSVOL
ubiupdatevol UBIUPDATEVOL
udhcpc UDHCPC
udhcpc6 UDHCPC6
udhcpd UDHCPD
udpsvd UDPSVD
uevent UEVENT
umount UMOUNT
uname UNAME
uncompress UNCOMPRESS
unexpand UNEXPAND
uniq UNIQ
unit UNIT_TEST
unix2dos UNIX2DOS
unlink UNLINK
unlzma UNLZMA
unlzop UNLZOP
unshare UNSHARE
unxz UNXZ
unzip UNZIP
uptime UPTIME
users USERS
usleep USLEEP
uudecode UUDECODE
uuencode UUENCODE
vconfig VCONFIG
vi VI
vlock VLOCK
volname VOLNAME
w W
wall WALL
watch WATCH
watchdog WATCHDOG
wc WC
wget WGET
which WHICH
who WHO
whoami WHOAMI
whois WHOIS
xargs XARGS
xxd XXD
xz XZ
xzcat XZCAT
yes YES
zcat ZCAT
zcip ZCIP
